Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
Myles Butler,Middle Tennessee,74.0,205.0,48.0,444.0,6.0,40.4,Round 1 (Elite Picks 1-32),1,11.2,8.9,10.1,51.04
Jacory Barney Jr.,Nebraska,72.0,170.0,42.0,495.0,7.0,38.1,Round 1 (Elite Picks 1-32),1,8.2,6.8,7.5,50.6
Malik Rutherford,Georgia Tech,69.0,170.0,40.0,402.0,6.0,44.7,Round 1 (Elite Picks 1-32),1,24.7,21.0,22.8,50.370000000000005
DJ Epps,Troy,73.0,185.0,44.0,449.0,6.0,40.8,Round 1 (Elite Picks 1-32),1,9.3,6.8,8.1,50.089999999999996
Hunter Summers,Arkansas State,75.0,161.0,42.0,475.0,7.0,36.5,Round 1 (Elite Picks 1-32),1,7.5,4.1,5.8,49.6
Langston Lewis,Central Michigan,72.0,195.0,41.0,454.0,6.0,37.8,Round 1 (Elite Picks 1-32),1,12.3,5.3,8.8,47.739999999999995
Aaron Turner,Rice,68.0,184.0,54.0,396.0,6.0,30.5,Round 1 (Elite Picks 1-32),1,24.4,26.5,25.4,47.41
Trebor Pena,Penn State,70.0,186.0,44.0,419.0,6.0,34.9,Round 1 (Elite Picks 1-32),1,27.7,21.0,24.3,46.84
Kenny Odom,UTEP,70.0,170.0,48.0,366.0,5.0,36.6,Round 1 (Elite Picks 1-32),1,7.8,6.8,7.3,46.36
David Amador II,UTSA,72.0,195.0,40.0,400.0,6.0,36.4,Round 1 (Elite Picks 1-32),1,9.3,7.9,8.6,46.2
Sahmir Hagans,Duke,70.0,190.0,40.0,416.0,6.0,32.0,Round 1 (Elite Picks 1-32),1,25.7,21.0,23.4,44.16
Gavin Freeman,Oklahoma State,68.0,185.0,40.0,323.0,5.0,32.3,Round 1 (Elite Picks 1-32),1,11.5,5.6,8.5,41.379999999999995
Anthony Eager,South Alabama,73.0,182.0,42.0,358.0,5.0,29.8,Round 1 (Elite Picks 1-32),1,8.4,6.1,7.3,41.08
